Iteration,Hordes,RatsPerHorde,TotalRats,FPS,PhysicsFPS
0,10,13551,135510,77.41,10.00
0,10,13601,136010,76.49,10.00
0,10,13651,136510,76.37,10.00
0,10,13701,137010,76.00,10.00
0,10,13751,137510,75.71,10.00
0,10,13801,138010,75.35,10.00
0,10,13851,138510,75.07,10.00
0,10,13901,139010,75.11,10.00
0,10,13951,139510,74.23,10.00
0,10,14001,140010,74.11,10.00
0,10,14051,140510,73.84,10.00
0,10,14101,141010,73.59,10.00
0,10,14151,141510,73.34,10.00
0,10,14201,142010,73.12,10.00
0,10,14251,142510,72.91,10.00
0,10,14301,143010,73.04,10.00
0,10,14351,143510,72.23,10.00
0,10,14401,144010,72.25,10.00
0,10,14451,144510,72.07,10.00
0,10,14501,145010,71.90,10.00
0,10,14551,145510,71.78,10.00
0,10,14601,146010,71.68,10.00
0,10,14651,146510,71.79,10.00
0,10,14701,147010,71.46,10.00
0,10,14751,147510,71.35,10.00
0,10,14801,148010,71.30,10.00
0,10,14851,148510,71.29,10.00
0,10,14901,149010,71.28,10.00
0,10,14951,149510,71.80,10.00
0,10,15001,150010,71.26,10.00
0,10,15051,150510,71.28,10.00
0,10,15101,151010,71.66,10.00
0,10,15151,151510,71.69,10.00
0,10,15201,152010,71.35,10.00
0,10,15251,152510,71.78,10.00
0,10,15301,153010,71.83,10.00
0,10,15351,153510,71.90,10.00
0,10,15401,154010,71.59,10.00
0,10,15451,154510,71.65,10.00
0,10,15501,155010,72.03,10.00
0,10,15551,155510,71.78,10.00
0,10,15601,156010,71.85,10.00
0,10,15651,156510,71.88,10.00
0,10,15701,157010,71.91,10.00
0,10,15751,157510,71.96,10.00
0,10,15801,158010,71.99,10.00
0,10,15851,158510,72.05,10.00
0,10,15901,159010,72.10,10.00
0,10,15951,159510,72.11,10.00
0,10,16001,160010,72.10,10.00
0,10,16051,160510,72.12,10.00
0,10,16101,161010,72.14,10.00
0,10,16151,161510,72.13,10.00
0,10,16201,162010,72.12,10.00
0,10,16251,162510,72.03,10.00
0,10,16301,163010,71.99,10.00
0,10,16351,163510,71.98,10.00
0,10,16401,164010,71.89,10.00
0,10,16451,164510,71.79,10.00
0,10,16501,165010,71.68,10.00
0,10,16551,165510,71.53,10.00
0,10,16601,166010,71.40,10.00
0,10,16651,166510,71.23,10.00
0,10,16701,167010,71.45,10.00
0,10,16751,167510,70.14,10.00
0,10,16801,168010,70.00,10.00
0,10,16851,168510,69.85,10.00
0,10,16901,169010,69.70,10.00
0,10,16951,169510,69.55,10.00
0,10,17001,170010,69.25,10.00
0,10,17051,170510,69.02,10.00
0,10,17101,171010,68.76,10.00
0,10,17151,171510,68.46,10.00
0,10,17201,172010,68.53,10.00
0,10,17251,172510,67.69,10.00
0,10,17301,173010,67.66,10.00
0,10,17351,173510,67.41,10.00
0,10,17401,174010,67.14,10.00
0,10,17451,174510,66.92,10.00
0,10,17501,175010,67.06,10.00
0,10,17551,175510,66.74,10.00
0,10,17601,176010,66.84,10.00
0,10,17651,176510,65.93,10.00
0,10,17701,177010,65.91,10.00
0,10,17751,177510,65.67,10.00
0,10,17801,178010,65.40,10.00
0,10,17851,178510,65.20,10.00
0,10,17901,179010,64.96,10.00
0,10,17951,179510,65.03,10.00
0,10,18001,180010,64.13,10.00
0,10,18051,180510,64.09,10.00
0,10,18101,181010,63.85,10.00
0,10,18151,181510,63.59,10.00
0,10,18201,182010,63.34,10.00
0,10,18251,182510,63.11,10.00
0,10,18301,183010,63.22,10.00
0,10,18351,183510,62.41,10.00
0,10,18401,184010,62.43,10.00
0,10,18451,184510,62.27,10.00
0,10,18501,185010,62.07,10.00
0,10,18551,185510,61.92,10.00
0,10,18601,186010,61.75,10.00
0,10,18651,186510,62.16,10.00
0,10,18701,187010,61.73,10.00
0,10,18751,187510,61.59,10.00
0,10,18801,188010,61.21,10.00
0,10,18851,188510,61.26,10.00
0,10,18901,189010,61.11,10.00
0,10,18951,189510,60.99,10.00
0,10,19001,190010,60.86,10.00
0,10,19051,190510,60.75,10.00
0,10,19101,191010,60.69,10.00
0,10,19151,191510,60.63,10.00
0,10,19201,192010,60.80,10.00
0,10,19251,192510,60.56,10.00
0,10,19301,193010,60.81,10.00
0,10,19351,193510,60.79,10.00
0,10,19401,194010,60.13,10.00
0,10,19451,194510,60.10,10.00
0,10,19501,195010,60.04,10.00
0,10,19551,195510,60.19,10.00
0,10,19601,196010,60.15,10.00
0,10,19651,196510,60.12,10.00
0,10,19701,197010,60.08,10.00
0,10,19751,197510,60.04,10.00
0,10,19801,198010,60.05,10.00
0,10,19851,198510,60.10,10.00
0,10,19901,199010,60.13,10.00
0,10,19951,199510,60.17,10.00
0,10,20001,200010,60.24,10.00
0,10,20051,200510,60.23,10.00
0,10,20101,201010,60.16,10.00
0,10,20151,201510,60.17,10.00
0,10,20201,202010,60.23,10.00
0,10,20251,202510,60.30,10.00
0,10,20301,203010,60.10,10.00
0,10,20351,203510,60.12,10.00
0,10,20401,204010,60.13,10.00
0,10,20451,204510,60.13,10.00
0,10,20501,205010,60.09,10.00
0,10,20551,205510,60.16,10.00
0,10,20601,206010,60.16,10.00
0,10,20651,206510,60.17,10.00
0,10,20701,207010,60.18,10.00
0,10,20751,207510,60.13,10.00
0,10,20801,208010,60.78,10.00
0,10,20851,208510,60.77,10.00
0,10,20901,209010,60.75,10.00
0,10,20951,209510,60.74,10.00
0,10,21001,210010,60.70,10.00
0,10,21051,210510,60.70,10.00
0,10,21101,211010,60.66,10.00
0,10,21151,211510,60.64,10.00
0,10,21201,212010,59.94,10.00
0,10,21251,212510,59.91,10.00
0,10,21301,213010,59.89,10.00
0,10,21351,213510,59.80,10.00
0,10,21401,214010,59.74,10.00
0,10,21451,214510,59.70,10.00
0,10,21501,215010,59.65,10.00
0,10,21551,215510,59.59,10.00
0,10,21601,216010,59.76,10.00
0,10,21651,216510,59.67,10.00
0,10,21701,217010,59.59,10.00
0,10,21751,217510,59.50,10.00
0,10,21801,218010,59.39,10.00
0,10,21851,218510,59.28,10.00
0,10,21901,219010,59.20,10.00
0,10,21951,219510,59.10,10.00
0,10,22001,220010,58.99,10.00
0,10,22051,220510,58.94,10.00
0,10,22101,221010,58.87,10.00
0,10,22151,221510,59.09,10.00
0,10,22201,222010,59.00,10.00
0,10,22251,222510,58.88,10.00
0,10,22301,223010,58.15,10.00
0,10,22351,223510,58.21,10.00
0,10,22401,224010,58.10,10.00
0,10,22451,224510,57.96,10.00
0,10,22501,225010,57.82,10.00
0,10,22551,225510,57.69,10.00
0,10,22601,226010,57.63,10.00
0,10,22651,226510,57.56,10.00
0,10,22701,227010,57.45,10.00
0,10,22751,227510,57.68,10.00
0,10,22801,228010,57.58,10.00
0,10,22851,228510,56.88,10.00
0,10,22901,229010,56.80,10.00
0,10,22951,229510,56.92,10.00
0,10,23001,230010,56.82,10.00
0,10,23051,230510,56.77,10.00
0,10,23101,231010,56.72,10.00
0,10,23151,231510,56.63,10.00
0,10,23201,232010,56.51,10.00
0,10,23251,232510,56.46,10.00
0,10,23301,233010,56.39,10.00
0,10,23351,233510,56.35,10.00
0,10,23401,234010,56.27,10.00
0,10,23451,234510,56.50,10.00
0,10,23501,235010,56.38,10.00
0,10,23551,235510,55.77,10.00
0,10,23601,236010,55.64,10.00
0,10,23651,236510,55.77,10.00
0,10,23701,237010,55.64,10.00
0,10,23751,237510,55.54,10.00
0,10,23801,238010,55.46,10.00
0,10,23851,238510,55.37,10.00
0,10,23901,239010,55.26,10.00
0,10,23951,239510,55.19,10.00
0,10,24001,240010,55.06,10.00
0,10,24051,240510,54.97,10.00
0,10,24101,241010,55.18,10.00
0,10,24151,241510,54.50,10.00
0,10,24201,242010,54.95,10.00
0,10,24251,242510,54.22,10.00
0,10,24301,243010,54.30,10.00
0,10,24351,243510,54.17,10.00
0,10,24401,244010,54.07,10.00
0,10,24451,244510,53.93,10.00
0,10,24501,245010,53.83,10.00
0,10,24551,245510,53.71,10.00
0,10,24601,246010,53.95,10.00
0,10,24651,246510,53.83,10.00
0,10,24701,247010,53.11,10.00
0,10,24751,247510,53.00,10.00
0,10,24801,248010,53.07,10.00
0,10,24851,248510,52.94,10.00
0,10,24901,249010,52.80,10.00
0,10,24951,249510,52.64,10.00
0,10,25001,250010,52.51,10.00
0,10,25051,250510,52.36,10.00
0,10,25101,251010,52.03,10.00
0,10,25151,251510,51.92,10.00
0,10,25201,252010,51.96,10.00
0,10,25251,252510,51.81,10.00
0,10,25301,253010,51.67,10.00
0,10,25351,253510,51.57,10.00
0,10,25401,254010,51.43,10.00
0,10,25451,254510,51.65,10.00
0,10,25501,255010,51.54,10.00
0,10,25551,255510,50.91,10.00
0,10,25601,256010,50.78,10.00
0,10,25651,256510,50.88,10.00
0,10,25701,257010,50.74,10.00
0,10,25751,257510,50.61,10.00
0,10,25801,258010,50.56,10.00
0,10,25851,258510,50.46,10.00
0,10,25901,259010,50.65,10.00
0,10,25951,259510,50.57,10.00
0,10,26001,260010,50.09,10.00
0,10,26051,260510,50.01,10.00
0,10,26101,261010,49.94,10.00
0,10,26151,261510,49.83,10.00
0,10,26201,262010,49.73,10.00
0,10,26251,262510,49.65,10.00
0,10,26301,263010,49.59,10.00
0,10,26351,263510,49.55,10.00
0,10,26401,264010,49.50,10.00
0,10,26451,264510,49.77,10.00
0,10,26501,265010,49.68,10.00
0,10,26551,265510,49.64,10.00
0,10,26601,266010,49.01,10.00
0,10,26651,266510,49.19,10.00
0,10,26701,267010,49.12,10.00
0,10,26751,267510,49.08,10.00
0,10,26801,268010,49.05,10.00
0,10,26851,268510,48.99,10.00
0,10,26901,269010,48.95,10.00
0,10,26951,269510,48.92,10.00
0,10,27001,270010,48.86,10.00
0,10,27051,270510,48.83,10.00
0,10,27101,271010,48.79,10.00
0,10,27151,271510,48.78,10.00
0,10,27201,272010,48.72,10.00
0,10,27251,272510,48.70,10.00
0,10,27301,273010,48.68,10.00
0,10,27351,273510,48.65,10.00
0,10,27401,274010,48.65,10.00
0,10,27451,274510,48.63,10.00
0,10,27501,275010,48.61,10.00
0,10,27551,275510,48.96,10.00
0,10,27601,276010,48.56,10.00
0,10,27651,276510,48.53,10.00
0,10,27701,277010,48.86,10.00
0,10,27751,277510,48.85,10.00
0,10,27801,278010,48.82,10.00
0,10,27851,278510,48.46,10.00
0,10,27901,279010,48.76,10.00
0,10,27951,279510,48.69,10.00
0,10,28001,280010,48.08,10.00
0,10,28051,280510,48.04,10.00
0,10,28101,281010,47.99,10.00
0,10,28151,281510,47.94,10.00
0,10,28201,282010,47.88,10.00
0,10,28251,282510,48.04,10.00
0,10,28301,283010,47.95,10.00
0,10,28351,283510,47.88,10.00
0,10,28401,284010,47.78,10.00
0,10,28451,284510,47.72,10.00
0,10,28501,285010,47.84,10.00
0,10,28551,285510,47.52,10.00
0,10,28601,286010,47.63,10.00
0,10,28651,286510,47.51,10.00
0,10,28701,287010,47.00,10.00
0,10,28751,287510,47.12,10.00
0,10,28801,288010,46.99,10.00
0,10,28851,288510,46.89,10.00
0,10,28901,289010,46.77,10.00
0,10,28951,289510,46.64,10.00
0,10,29001,290010,46.70,10.00
0,10,29051,290510,46.17,10.00
0,10,29101,291010,46.07,10.00
0,10,29151,291510,46.15,10.00
0,10,29201,292010,46.05,10.00
0,10,29251,292510,45.92,10.00
0,10,29301,293010,45.82,10.00
0,10,29351,293510,45.71,10.00
0,10,29401,294010,45.59,10.00
0,10,29451,294510,45.69,10.00
0,10,29501,295010,45.17,10.00
0,10,29551,295510,45.07,10.00
0,10,29601,296010,45.18,10.00
0,10,29651,296510,45.09,10.00
0,10,29701,297010,44.99,10.00
0,10,29751,297510,44.92,10.00
0,10,29801,298010,44.79,10.00
0,10,29851,298510,44.73,10.00
0,10,29901,299010,44.85,10.00
0,10,29951,299510,44.75,10.00
0,10,30001,300010,44.26,10.00
0,10,30051,300510,44.23,10.00
0,10,30101,301010,44.16,10.00
0,10,30151,301510,44.31,10.00
0,10,30201,302010,44.24,10.00
0,10,30251,302510,44.14,10.00
0,10,30301,303010,44.09,10.00
0,10,30351,303510,44.00,10.00
0,10,30401,304010,43.95,10.00
0,10,30451,304510,43.91,10.00
0,10,30501,305010,44.04,10.00
0,10,30551,305510,43.96,10.00
0,10,30601,306010,43.48,10.00
0,10,30651,306510,43.43,10.00
0,10,30701,307010,43.58,10.00
0,10,30751,307510,43.31,10.00
0,10,30801,308010,43.47,10.00
0,10,30851,308510,43.42,10.00
0,10,30901,309010,43.37,10.00
0,10,30951,309510,43.31,10.00
0,10,31001,310010,43.42,10.00
0,10,31051,310510,43.16,10.00
0,10,31101,311010,43.26,10.00
0,10,31151,311510,43.18,10.00
0,10,31201,312010,42.72,10.00
0,10,31251,312510,42.64,10.00
0,10,31301,313010,42.77,10.00
0,10,31351,313510,42.70,10.00
0,10,31401,314010,42.62,10.00
0,10,31451,314510,42.53,10.00
0,10,31501,315010,42.62,10.00
0,10,31551,315510,42.51,10.00
0,10,31601,316010,42.39,10.00
0,10,31651,316510,42.11,10.00
0,10,31701,317010,41.99,10.00
0,10,31751,317510,41.86,10.00
0,10,31801,318010,41.73,10.00
0,10,31851,318510,41.82,10.00
0,10,31901,319010,41.67,10.00
0,10,31951,319510,41.51,10.00
0,10,32001,320010,41.20,10.00
0,10,32051,320510,41.06,10.00
0,10,32101,321010,40.90,10.00
0,10,32151,321510,40.76,10.00
0,10,32201,322010,40.78,10.00
0,10,32251,322510,40.25,10.00
0,10,32301,323010,40.07,10.00
0,10,32351,323510,40.13,10.00
0,10,32401,324010,39.95,10.00
0,10,32451,324510,39.98,10.00
0,10,32501,325010,39.80,10.00
0,10,32551,325510,39.46,10.00
0,10,32601,326010,39.27,10.00
0,10,32651,326510,39.11,10.00
0,10,32701,327010,39.11,10.00
0,10,32751,327510,38.54,10.00
0,10,32801,328010,38.37,10.00
0,10,32851,328510,38.44,10.00
0,10,32901,329010,38.24,10.00
0,10,32951,329510,38.26,10.00
0,10,33001,330010,38.06,10.00
0,10,33051,330510,37.71,10.00
0,10,33101,331010,37.52,10.00
0,10,33151,331510,37.37,10.00
0,10,33201,332010,37.24,10.00
0,10,33251,332510,36.84,10.00
0,10,33301,333010,36.89,10.00
0,10,33351,333510,36.73,10.00
0,10,33401,334010,36.55,10.00
0,10,33451,334510,36.22,10.00
0,10,33501,335010,36.08,10.00
0,10,33551,335510,36.41,10.00
0,10,33601,336010,35.51,10.00
0,10,33651,336510,35.58,10.00
0,10,33701,337010,35.45,10.00
0,10,33751,337510,35.31,10.00
0,10,33801,338010,35.37,10.00
0,10,33851,338510,34.89,10.00
0,10,33901,339010,34.95,10.00
0,10,33951,339510,34.85,10.00
0,10,34001,340010,34.92,10.00
0,10,34051,340510,34.79,10.00
0,10,34101,341010,34.53,10.00
0,10,34151,341510,34.45,10.00
0,10,34201,342010,34.33,10.00
0,10,34251,342510,34.40,10.00
0,10,34301,343010,33.95,10.00
0,10,34351,343510,33.89,10.00
0,10,34401,344010,33.98,10.00
0,10,34451,344510,33.94,10.00
0,10,34501,345010,33.68,10.00
0,10,34551,345510,33.60,10.00
0,10,34601,346010,33.72,10.00
0,10,34651,346510,33.67,10.00
0,10,34701,347010,33.59,10.00
0,10,34751,347510,33.72,10.00
0,10,34801,348010,33.68,10.00
0,10,34851,348510,33.26,10.00
0,10,34901,349010,33.21,10.00
0,10,34951,349510,33.35,10.00
0,10,35001,350010,33.31,10.00
0,10,35051,350510,33.27,10.00
0,10,35101,351010,33.37,10.00
0,10,35151,351510,32.96,10.00
0,10,35201,352010,32.90,10.00
0,10,35251,352510,32.88,10.00
0,10,35301,353010,33.03,10.00
0,10,35351,353510,32.98,10.00
0,10,35401,354010,33.14,10.00
0,10,35451,354510,32.93,10.00
0,10,35501,355010,33.07,10.00
0,10,35551,355510,32.66,10.00
0,10,35601,356010,33.02,10.00
0,10,35651,356510,32.60,10.00
0,10,35701,357010,32.77,10.00
0,10,35751,357510,32.74,10.00
0,10,35801,358010,32.71,10.00
0,10,35851,358510,32.69,10.00
0,10,35901,359010,32.67,10.00
0,10,35951,359510,32.82,10.00
0,10,36001,360010,32.61,10.00
0,10,36051,360510,32.76,10.00
0,10,36101,361010,33.04,10.00
0,10,36151,361510,32.62,10.00
0,10,36201,362010,32.60,10.00
0,10,36251,362510,32.59,10.00
0,10,36301,363010,32.56,10.00
0,10,36351,363510,32.74,10.00
0,10,36401,364010,32.73,10.00
0,10,36451,364510,32.71,10.00
0,10,36501,365010,32.69,10.00
0,10,36551,365510,32.67,10.00
0,10,36601,366010,32.83,10.00
0,10,36651,366510,32.81,10.00
0,10,36701,367010,32.80,10.00
0,10,36751,367510,32.79,10.00
0,10,36801,368010,32.38,10.00
0,10,36851,368510,32.35,10.00
0,10,36901,369010,32.73,10.00
0,10,36951,369510,32.30,10.00
0,10,37001,370010,32.27,10.00
0,10,37051,370510,32.25,10.00
0,10,37101,371010,32.45,10.00
0,10,37151,371510,32.43,10.00
0,10,37201,372010,32.38,10.00
0,10,37251,372510,32.55,10.00
0,10,37301,373010,32.12,10.00
0,10,37351,373510,32.08,10.00
0,10,37401,374010,32.27,10.00
0,10,37451,374510,32.25,10.00
0,10,37501,375010,32.23,10.00
0,10,37551,375510,32.20,10.00
0,10,37601,376010,32.18,10.00
0,10,37651,376510,32.17,10.00
0,10,37701,377010,32.14,10.00
0,10,37751,377510,32.12,10.00
0,10,37801,378010,32.28,10.00
0,10,37851,378510,32.25,10.00
0,10,37901,379010,32.04,10.00
0,10,37951,379510,32.19,10.00
0,10,38001,380010,32.17,10.00
0,10,38051,380510,32.14,10.00
0,10,38101,381010,31.71,10.00
0,10,38151,381510,31.68,10.00
0,10,38201,382010,31.66,10.00
0,10,38251,382510,32.05,10.00
0,10,38301,383010,31.61,10.00
0,10,38351,383510,31.59,10.00
0,10,38401,384010,31.57,10.00
0,10,38451,384510,31.75,10.00
0,10,38501,385010,31.74,10.00
0,10,38551,385510,31.72,10.00
